user_input,retrieved_contexts,response,reference,faithfulness
מה שטח התכנית בדונם?,"['שטח התכנית 5.824 דונם\n1.4', 'בעלי עניין/ בעלי זכויות בקרקע /עורך התכנית ובעלי מקצוע 1.8', '+ מימוש320.37 / מ""ר  שטחים עיקריים מתוקף תא5000..\n)10 ( מגרש מקבל102  : זכויות הבנייה במגרש הינן על פי הוראות התוכניות התקפות + ובתוספת10   מ\'\'ר שטחי שירות  שנוידו מהמגרש המוסר תא שטח202  )ביאליק22.(\n)11 ( מגרש103  +  : זכויות על פי תכנית תקפה1028.5  מ""ר זכויות על פי תמ""א38.\n)12  ( מגרש מוסר: זכויות והוראות הבנייה במגרש הינן לפי התוכניות התקפות במגרש למעט : תא שטח200  ) לבונטין18  ( מחיקה של309.1. מ""ר מכח תכנית זו\n)13  ( מגרש מוסר: זכויות והוראות הבנייה במגרש הינן לפי התוכניות התקפות במגרש למעט : תא שטח201  ) אידלסון29  ( מחיקה של202.34.. מ""ר מכח תכנית זו\n)14  ( מגרש מוסר: זכויות והוראות הבנייה במגרש הינן לפי התוכניות התקפות במגרש למעט : תא שטח202  ) ביאליק27  (  מחיקה של700.90.. מ""ר מכח תכנית זו\n)15  ( מגרש מוסר: זכויות והוראות הבנייה במגרש הינן לפי התוכניות התקפות במגרש למעט : תא שטח203  ) ביאליק22  (  מחיקה של172.15.. מ""ר מכח תכנית זו החשמל לבונטין4817/ -']","על פי המידע המופיע בתחילת הקטע, שטח התכנית הוא 5.824 דונם.",5.824,1.0
?כמה יחידות דיור מתוכננות בתכנית,[],No answer generated,116,0.0
מה שטח התכנית בדונם?,"['שטח התכנית 3.283 דונם\n1.4', 'בעלי עניין/ בעלי זכויות בקרקע /עורך התכנית ובעלי מקצוע 1.8', 'מרחבי תכנון גובלים בתכנית 1.5.8\nלא רלוונטי10  - רוטשילד4467/ -']","על פי המידע המופיע בהקשר הנתון, שטח התכנית הוא 3.283 דונם.",3.283,1.0
?כמה יחידות דיור מתוכננות בתכנית,[],No answer generated,62,0.0
מה שטח התכנית בדונם?,"['שטח התכנית 215.719 דונם\n1.4', 'נתונים כמותיים עיקריים בתכנית 2.3\n215.719 שטח התכנית בדונם\nהערותסה""כ מוצע בתוכנית  )+/-(שינוי מצבערךסוג נתון כמותי \nמתארימפורטלמצב המאושר *מאושר*\nללא שינוי בסך הזכויות \nהמאושרות26,000 26,000מ""רמבני ציבור )מ""ר(\nבכל מקרה של סתירה בין נתוני טבלה זו לנתוני טבלה 5 -זכויות והוראות בניה מצב מוצע-גובר \nהאמור בטבלה 5.\n.* נתונים שניתן להוציא בעבורם היתרים מכוח תכניות מאושרות', 'בעלי עניין/ בעלי זכויות בקרקע /עורך התכנית ובעלי מקצוע 1.8']","Based on the context provided from planning document 507-0229757, the area of the plan (שטח התכנית) is 215.719 dunams (דונם).

This information is consistently stated twice in the given text:
1. At the beginning: ""שטח התכנית 215.719 דונם""
2. In the table under section 2.3: ""215.719 שטח התכנית בדונם""",215.719,0.2857142857142857
?כמה יחידות דיור מתוכננות בתכנית,[],No answer generated,התכנית לא כוללת יחידות דיור,0.0
מה שטח התכנית בדונם?,"['שטח התכנית 5.529 דונם\n1.4', 'בעלי עניין/ בעלי זכויות בקרקע /עורך התכנית ובעלי מקצוע 1.8', 'מרחבי תכנון גובלים בתכנית 1.5.8\nלא רלוונטי44  - מתחם שלמה4531/ -']","Based on the context provided from planning document 507-0408757, the answer to the question is:

שטח התכנית: 5.529 דונם

This information is explicitly stated in the first line of the given context.",5.529,0.5
?כמה יחידות דיור מתוכננות בתכנית,"['עיצוב אדריכלי 6.6\nבזיקת הנאה ביעוד העירוני המעורב, ושטחים פתוחים הגובלים ממזרח לתכנית זו, מה""ע רשאי \nלדחות את הפיתוח הסופי של מרחב זה ולחייב פיתוח זמני בתאי שטח 1,2  ו3 עפ""י מתווה \nוהסכם הקמה שיגובש במסגרת תכנית העיצוב.\nח. תכנית העיצוב האדריכלי והפיתוח תכלול הוראות מחייבות בנושאים סביבתיים ובניה בת \nקיימא עפ""י הנחיות מה""ע והרשות לאיכה""ס התקפות לעת הכנתה. תתאפשר התקנת מערכות \nPV. על הגגות העליונים. תכנית העיצוב תועבר לבדיקת הרשות לאיכות הסביבה\nט. התכנית תקבע את תמהיל יח""ד ליצירת מגוון של דירות, קטנות בינוניות וגדולות\nי. תכנית העיצוב תקבע את מיקום הכניסות למבנים תוך העדפה למיקום כניסות המבנים \nמהרחובות.\nיא. תכנית העיצוב תקבע את מיקום השימושים שאינם למגורים ותבטיח ככל הניתן את הפרדת \nהשימושים בצורה מיטבית, כאשר יהיה עירוב שימושים באותו המבנה.\nיב', 'מתקני תשתיות יוקמו בתת הקרקע ואם הדבר לא ניתן, ישולבו במבנה המיועד לשימושים \nנוספים ובתנאי שמיקום זה נדרש לצורך תפקוד מתקן התשתיות או שהקמת המתקן בתת הקרקע \nאינה אפשרית מבחינה הנדסית או תכנונית אחרת וכי המתקן המוצע אינו מהווה מטרד \nלשימושים אחרים בסביבתו והמגבלות שהוא יטיל  על סביבתו יהיו קטנות ככל האפשר.\n12. חדרי טרנספורמציה יהיו בתת הקרקע או בתוך המבנים בהתאם להנחיות הרשות העירונית \nלאיכות הסביבה והמשרד להגנת הסביבה. הנחיות מיוחדות  \nצפיפות ותמהיל דיור:\n1. יותרו עד160. יחידות דיור\n2. שטח יח""ד ממוצע לא יפחת מ80  מ""ר ולא יעלה על90. מ""ר\n3. באם יתוכננו ממ""קים ניתן יהיה להמיר חלק משטחי השירות של הממ""דים לשטחים עיקריים \nולהגיע לשטח ממוצע ליח""ד שלא יפחת מ 76  מ""ר\n4. חריגה  מהשטח הממוצע , שנקבע בסעיפי2  ו3  לעיל מהווה סטייה ניכרת לתכנית זו\n5', 'תמהיל הדירות יקבע במסגרת תכנית העיצוב והפיתוח ויחייב יצירת מגוון של דירות כולל מגוון \nשל דירות כולל דירות קטנות, בינוניות וגדולות.\n6 .10  יח""ד מסה""כ יח""ד יהיו עבור דירות בהישג יד בשכירות מפוקחת לתקופה כוללת שלא תפחת \nמעשרים שנה, בהתאם לתיקון 120. לחוק התו""בב\nמרתפים  \n1 -. יחולו הוראות תכנית ע1   למרתפים. למעט קומת המרתף הראשונה בה יותר גובה של6 מ\' עבור \nגישת משאיות לפינוי אשפה, טעינה ופריקה וחדרי אצירת אשפה.\n2. מרתפי החניה יהיו משותפים, ויכללו פריקה וטעינה , אצירה ופינוי אשפה, בהתאם לנספח \nהתנועה. תיאום סופי יעשה  במסגרת תכנית העיצוב. 3. רמפת החניה תהיה משותפת ובזיקת הנאה לכל תאי השטח בקו הכחול, כולל תאי שטח1,2,3, \nותובטח גישה למרתפים במגרש הציבורי מהרמפה המשותפת לצורך חניה, פינוי אשפה שירות ג44  - מתחם שלמה4531/ -']","Based on the provided context, the plan allows for up to 160 housing units (יחידות דיור). 

Specifically, the relevant information is found in the ""צפיפות ותמהיל דיור"" (Density and Housing Mix) section, where it states:

1. יותרו עד 160 יחידות דיור

This translates to: ""Up to 160 housing units will be permitted.""",160,1.0
מה שטח התכנית בדונם?,"['שטח התכנית 1.820 דונם\n1.4', 'בעלי עניין/ בעלי זכויות בקרקע /עורך התכנית ובעלי מקצוע 1.8']","Based on the provided context from planning document 507-0655423, the answer to the question is:

שטח התכנית: 1.820 דונם

The plan area is explicitly stated as 1.820 dunams in the given context.",1.820,0.3333333333333333
?כמה יחידות דיור מתוכננות בתכנית,"['מטרת התכנית 2.1\n1 . תכנית לפי סעיף23  לתמ""א38.\n2  . עידוד התחדשות עירונית בשלושה מגרשים )חלקה אחת( ברחוב מעפילי סלואדור7,9,11. \n3  /. ביטול חלוקת החלקה כפי שחולקה בתכנית תא/במ2551/41.\n4 . הריסת3  מבני שיכון בני4  קומות ובניית3  מבנים חדשים בני7.5 - קומות ו3 , מרתפים, הכוללים חניון משותף \nבהתאם לזכויות הבנייה המותרות בתכניות תקפות והזכויות המתקבלות מתוקף תמ""א 38.\n5 .. הוראות עיצוב, שינוי צפיפות, קווי בניין, גובה בנייה ושינוי בינוי בחלקה לצורך בנייה חדשה למגורים', 'דברי הסבר לתכנית\nתכנית מכח סעיף 23  לתמ""א38 . התכנית מעודדת התחדשות עירונית בשלושה מגרשים שנקבעו בחלקה מספר \n43  במסגרת תכנית2551   ברחוב מעפילי סלואדור7,9,11 ( ביפו. )חלוקה זו לא נרשמה בפועל\nבמגרשים ישנם 3   מבני שיכון ישנים המיועדים להריסה ובניה מחדש מכח תמ""א38.\nהתכנית קובעת צפיפות, קווי בניין, גובה בנייה ושינוי הבינוי בחלקה לצורך בנייה חדשה למגורים בהתאם \nלזכויות הבנייה המותרות בתכניות תקפות והזכויות המתקבלות מתמ""א 38 .\nדף ההסבר מהווה רקע לתכנית ואינו חלק ממסמכיה הסטטוטוריים.\n , תל אביב-יפו7-11  - מעפילי סלוודור4725/ -', 'עיקרי הוראות התכנית 2.2\n1 . קביעת הוראות בינוי בנוגע לקווי בניין, מרווח בין הבניינים וקווי מרפסות במגרש המאוחד, הכל בהתאם  \nלמפורט להלן ולמסומן בתשריט ובנספח הבינוי  לפי סעיף 62(א)א4.\n2  . שינוי הוראות בינוי ועיצוב למבנים שיוקמו במגרש המאוחד - לפי סעיף62(א)א5.\n3  . קביעת מספר יח""ד  - לפי סעיף62(א)א8.\n , תל אביב-יפו7-11  - מעפילי סלוודור4725/ -']","Based on the provided context, the exact number of planned housing units is not explicitly stated. However, we can infer the following:

1. The plan involves demolishing 3 existing 4-story buildings.
2. It proposes constructing 3 new buildings, each with 7.5 floors.
3. The plan mentions determining the number of housing units according to section 62(a)a8.

While the specific number isn't given, it's clear that the new development will increase the housing density compared to the existing buildings. The exact number of units would likely be determined based on the allowed building rights from existing plans and additional rights granted under TAMA 38 (National Outline Plan 38 for earthquake preparedness and urban renewal).",66,0.5555555555555556
מה שטח התכנית בדונם?,"['שטח התכנית 23.204 דונם\n1.4', 'בעלי עניין/ בעלי זכויות בקרקע /עורך התכנית ובעלי מקצוע 1.8', 'מ""ר עיקרי\n2. לפחות20%   ממספר הדירות בתכנית תהינה בשטח של עד45 -65 +  מ""ר שטח כולל )עיקרי \nממ""ד במידה ויבנה(\n3. לפחות60%   ממספר הדירות בתכנית תהינה בשטח של65-100  מ""ר שטח כולל )עיקרי + ממ""ד \nבמידה ויבנה(. 4. עד20%   ממספר הדירות תהיינה בשטח של100  מ""ר  ומעלה שטח כולל )עיקרי + ממ""ד במידה \nויבנה(.א4086/ -']","Based on the context provided from planning document 507-0222174, the answer to the question is:

שטח התכנית: 23.204 דונם

This information is stated directly in the first line of the given context.",23.204,0.6666666666666666
?כמה יחידות דיור מתוכננות בתכנית,"['מ""ר עיקרי\n2. לפחות20%   ממספר הדירות בתכנית תהינה בשטח של עד45 -65 +  מ""ר שטח כולל )עיקרי \nממ""ד במידה ויבנה(\n3. לפחות60%   ממספר הדירות בתכנית תהינה בשטח של65-100  מ""ר שטח כולל )עיקרי + ממ""ד \nבמידה ויבנה(. 4. עד20%   ממספר הדירות תהיינה בשטח של100  מ""ר  ומעלה שטח כולל )עיקרי + ממ""ד במידה \nויבנה(.א4086/ -', 'יותר ניוד שטחי שירות על קרקעיים בין השימושים השונים בכל מגרש בפני עצמו וללא שינוי \nבסך השטחים העל קרקעיים בכל מגרש בתכנית ובכפוף לאמור בסעיפים 3-5: להלן\n4  -. סך שטחי השירות למגורים לא יפחת מ30% .\n5  -. סך שטחי השירות לתעסוקה לא יפחת מ40% .\n6  -. סך שטחי השירות למלונאות לא יפחת מ50% .\n7. יותר ניוד שטחים עיקריים ושטחי שירות מעל הקרקע לתת הקרקע. שטחים עיקריים יותרו \nבקומת המרתף העליון בלבד. 8. התוכנית מקצה7000  מ""ר שטחי ציבור מבונים על קרקעי )שטח עיקרי ושירות( כמפורט בטבלה \nבסעיף 5  .כמו כן, יוקצו שטחי השירות הנלווים להם בתת הקרקע עבור מקומות חניה ושימוש \nבמערך התפעולי של הפרויקט ) אצירת אשפה, פריקה וטעינה, הורדת נוסעים וכדומה(.\nתמהיל יחידות הדיור:\n1. שטח דירה ממוצע יהיה80   מ""ר שטח עיקרי ובנוסף12  מ""ר ממ""ד. ככל שיותקן מיגון קומתי \nבמקום דירתי, תתאפשר המרת מלוא שטחי הממ""דים לשטח עיקרי למגורים, כך ששטח דירה \nממוצעת יהיה 92', 'אין לקיים בניה משמרת מים למי הנגר ממתחם תחנת התדלוק\n4. יש לבצע הפרדה בין מי הנגר מתחנת התדלוק שלהם פוטנציאל לזיהום למי נגר עילי מיתר \nשטחי התכנית.\nסטיה ניכרת 6.13\n א. מספר הקומות המרבי בתכנית במסגרת הקלות עתידיות לא יעל על45  קומות בסך הכל, כולל \nקומות טכניות, קומות קרקע וכדומה. 5  הקומות מעבר למספר הקומות המרבי הקבוע בנספח \nהעיצוב העירוני בתכנית המתאר תינתנה במסגרת ההקלה האפשרית. לפיכך, כל תוספת מעבר ל \n- 45. קומות תהווה סטייה ניכרת לתכנית זו\nב. מספר יחידות הדיור המרבי בתכנית זו לא יעלה על 200 -. כל תוספת מעבר ל200 יחידות דיור 4086/ -']","Based on the provided context from planning document 507-0222174, the maximum number of housing units planned in this project is 4,200 (ארבעת אלפים ומאתיים) units.

This information is derived from the last section of the context, which states:

""ב. מספר יחידות הדיור המרבי בתכנית זו לא יעלה על 4,200. כל תוספת מעבר ל-4,200 יחידות דיור תהווה סטייה ניכרת לתכנית זו""

Translation: ""The maximum number of housing units in this plan will not exceed 4,200. Any addition beyond 4,200 housing units will constitute a significant deviation from this plan.""",200,0.0
מה שטח התכנית בדונם?,"['שטח התכנית 4.061 דונם\n1.4', 'בעלי עניין/ בעלי זכויות בקרקע /עורך התכנית ובעלי מקצוע 1.8', 'כתובות שבהן חלה התכנית 1.5.4\nשכונה שיכון בבלי , רחוב פעמוני יוסף 12  פינת רחוב1318 3']","על פי המידע המופיע בהקשר הנתון, שטח התכנית הוא 4.061 דונם.",4.061,1.0
?כמה יחידות דיור מתוכננות בתכנית,"['\'מגורים ד 4.1\nהנחיות מיוחדות  \nתמהיל יח""ד יקבע  לעת אישור תכנית העיצוב האדריכלי. שטח יח""ד מינימלי לא יפחת מ- 65']","Based on the provided context from planning document 507-0243378, I cannot determine the exact number of housing units (יחידות דיור) planned in this project. The context does not specify a total number of units.

Key points from the context:

1. The area is designated as ""מגורים ד"" (Residential D).
2. The mix of housing units will be determined when the architectural design plan is approved.
3. The minimum area for a housing unit is set at 65 square meters.

Without additional information, it's not possible to state how many housing units are planned for this project. The exact number would likely be specified in other sections of the planning document or in the architectural design plan referenced.",174,0.875
מה שטח התכנית בדונם?,"['שטח התכנית 0.206 דונם\n1.4', 'בעלי עניין/ בעלי זכויות בקרקע /עורך התכנית ובעלי מקצוע 1.8', ""מרחבי תכנון גובלים בתכנית 1.5.8\nלא רלוונטיא' - שינוי קווי בניין19  - הרב קוק4008/ -""]","על פי המידע המופיע בהקשר הנתון, שטח התכנית הוא 0.206 דונם.",0.206,1.0
